Last Price,Change,% Change,Volume,Open Interest,Strike,Last Price,Change,% Change,Volume,Open Interest
126.4,0,-,-,2,125,0.6,0,-,22,142
146.7,0,-,1,4,130,0.62,0,-,5,91
129.35,0,-,34,34,135,0.82,0,-,7,25
121.68,0,-,5,13,140,1.44,0,-,68,91
148.1,0,-,-,1,145,1.17,0,-,3,3
133.5,0,-,1,4,150,1.3,0,-,2,106
96.15,0,-,3,8,155,1.2,0,-,2,65
100.51,0,-,3,0,160,1.68,0,-,3,46
114,0,-,-,1,165,2,0,-,3,81
113.24,0,-,12,42,170,2.28,0,-,73,149
95.42,0,-,3,35,175,2.52,0,-,3,827
85.8,0,-,2,12,180,3.35,0,-,25,364
93.15,0,-,1,6,185,3.54,0,-,25,349
76.2,0,-,22,56,190,4.59,0,-,92,171
70.65,0,-,2,28,195,5.3,0,-,26,263
66.5,0,-,59,99,200,6.35,0,-,180,823
60.25,0,-,1,591,210,7.6,0,-,194,"1,921"
52.87,0,-,11,186,220,10.2,0,-,21,497
46.5,0,-,4,115,230,13.37,0,-,194,"1,499"
41.08,0,-,1,213,235,15.5,0,-,134,697
38.68,0,-,109,359,240,17.5,0,-,28,"1,613"
35.12,0,-,6,124,245,18.72,0,-,151,466
32.9,0,-,"3,743",0,250,20.32,0,-,125,"1,067"
29.5,0,-,224,666,255,23.55,0,-,68,"1,318"
27.91,0,-,329,487,260,24.92,0,-,68,"1,072"
26.02,0,-,"1,275","9,992",265,27.48,0,-,"1,191","1,094"
23,0,-,246,"2,016",270,31.8,0,-,37,"1,455"
20.5,0,-,78,682,275,28.5,0,-,3,602
19.4,0,-,350,913,280,37.2,0,-,114,731
16.5,0,-,31,"1,069",285,33.8,0,-,3,338
15.06,0,-,173,"1,261",290,43,0,-,6,285
12.9,0,-,16,"5,211",295,36.75,0,-,2,116
12.6,0,-,304,"1,049",300,48.2,0,-,1,613
8.95,0,-,102,"10,305",310,43.84,0,-,5,72
7.18,0,-,121,694,320,64.95,0,-,6,104
5.65,0,-,288,892,330,73.26,0,-,9,82
4.25,0,-,47,"1,127",340,80.75,0,-,3,112
3.2,0,-,512,"7,553",350,90.35,0,-,143,234
2.9,0,-,114,566,360,92.65,0,-,2,27
2.07,0,-,8,266,370,95.05,0,-,23,75
1.65,0,-,4,537,380,130.15,0,-,-,10
1.36,0,-,1,161,390,129.2,0,-,1,1
1.09,0,-,288,868,400,137.9,0,-,1,11
0.88,0,-,47,212,410,153.15,0,-,-,10
0.95,0,-,1,101,420,154.35,0,-,10,20
0.71,0,-,17,101,430,-,-,-,-,-
0.52,0,-,28,487,440,173.3,0,-,10,22
0.44,0,-,50,178,460,-,-,-,-,-
0.32,0,-,17,172,480,-,-,-,-,-
0.32,0,-,13,279,500,-,-,-,-,-
0.23,0,-,10,10,520,-,-,-,-,-
0.25,0,-,2,2,560,-,-,-,-,-
