Last Price,Change,% Change,Volume,Open Interest,Strike,Last Price,Change,% Change,Volume,Open Interest
273.79,0,-,1,"1,089",5,0.01,0,-,42,"5,814"
254.6,0,-,2,115,10,0.04,0,-,1,"1,743"
249.1,0,-,6,88,15,0.01,0,-,80,"2,641"
259.45,0,-,3,51,20,0.01,0,-,1,981
239.85,0,-,3,41,25,0.01,0,-,2,"1,072"
226.55,0,-,2,37,30,0.02,0,-,5,"6,472"
226.4,0,-,4,33,35,0.02,0,-,28,"2,406"
221.35,0,-,24,61,40,0.05,0,-,5,"2,266"
220.5,0,-,6,21,45,0.05,0,-,57,"1,048"
231.15,0,-,1,128,50,0.04,0,-,1,"2,029"
205.65,0,-,2,49,55,0.06,0,-,2,700
188.46,0,-,1,184,60,0.04,0,-,6,567
211.4,0,-,2,31,65,0.06,0,-,6,457
192.5,0,-,20,277,70,0.08,0,-,20,951
189.25,0,-,2,133,75,0.1,0,-,10,617
183.05,0,-,4,135,80,0.09,0,-,65,"1,638"
180.75,0,-,4,127,85,0.09,0,-,24,430
172,0,-,3,"1,690",90,0.12,0,-,3,"2,116"
171.2,0,-,1,493,95,0.13,0,-,1,913
160,0,-,41,"2,605",100,0.19,0,-,61,"9,146"
160.45,0,-,2,"1,647",105,0.25,0,-,3,"2,042"
154.7,0,-,5,"3,247",110,0.26,0,-,1,"3,351"
163.7,0,-,2,480,115,0.33,0,-,43,"1,337"
144.5,0,-,4,"1,360",120,0.29,0,-,1,"6,041"
148.9,0,-,3,385,125,0.35,0,-,27,"7,570"
133.92,0,-,9,770,130,0.43,0,-,15,"9,401"
129.6,0,-,4,615,135,0.5,0,-,26,"18,208"
121.9,0,-,2,"1,774",140,0.54,0,-,27,"6,736"
118.05,0,-,2,793,145,0.61,0,-,55,"3,612"
112.1,0,-,11,"3,554",150,0.76,0,-,12,"9,298"
108.05,0,-,2,"1,863",155,0.83,0,-,51,"5,617"
103.45,0,-,7,"2,262",160,0.96,0,-,152,"8,581"
96.1,0,-,40,"1,458",165,1.14,0,-,14,"4,944"
114.25,0,-,3,"5,226",170,1.32,0,-,32,"11,230"
86.85,0,-,76,"2,502",175,1.6,0,-,213,"6,216"
82.75,0,-,46,"11,063",180,1.97,0,-,165,"13,509"
79.88,0,-,25,"3,787",185,2.18,0,-,218,"9,641"
79.85,0,-,1,"4,876",190,2.65,0,-,106,"7,823"
71.42,0,-,2,"3,524",195,3.27,0,-,46,"4,772"
65.4,0,-,169,"12,047",200,3.51,0,-,819,"12,030"
60.05,0,-,104,"4,620",205,4.1,0,-,727,"4,665"
56.2,0,-,31,"6,891",210,5.3,0,-,503,"6,164"
52.15,0,-,17,"2,629",215,6.4,0,-,189,"2,873"
47.95,0,-,"7,114","5,024",220,6.65,0,-,169,"6,411"
43.92,0,-,16,"3,547",225,8.72,0,-,149,"3,354"
41,0,-,98,"8,552",230,9.21,0,-,114,"10,139"
41.17,0,-,13,"1,757",235,11.08,0,-,282,"2,680"
35.75,0,-,325,"11,400",240,12.56,0,-,318,"11,475"
31.2,0,-,4,"1,995",245,14.4,0,-,143,"2,164"
27.95,0,-,309,"6,529",250,15.45,0,-,360,"5,482"
24.65,0,-,91,"3,829",255,18.63,0,-,85,"1,913"
24.05,0,-,"2,568",0,260,20.14,0,-,"2,645","5,997"
20.95,0,-,542,"13,294",265,23.86,0,-,162,"9,524"
17.96,0,-,563,"6,509",270,26.9,0,-,84,"2,266"
16.5,0,-,"2,080","4,321",275,29.5,0,-,126,"2,796"
14.6,0,-,"2,667","21,933",280,30.78,0,-,194,"1,855"
12.4,0,-,402,"2,725",285,36.08,0,-,24,"2,025"
10.27,0,-,"1,498","3,822",290,38.6,0,-,34,"1,056"
8.77,0,-,208,"7,956",295,39,0,-,6,617
7.97,0,-,"7,017","23,189",300,45.93,0,-,42,"11,271"
7,0,-,416,"3,711",305,50.4,0,-,10,131
5.5,0,-,161,"1,769",310,55.43,0,-,10,630
4.9,0,-,"2,182","25,944",315,59.63,0,-,4,79
3.9,0,-,143,"3,738",320,61.07,0,-,14,484
3.5,0,-,233,"11,587",325,64.25,0,-,1,48
2.8,0,-,207,"2,551",330,72.85,0,-,6,50
2.38,0,-,177,"5,827",335,76.15,0,-,29,66
1.95,0,-,120,"1,326",340,80.25,0,-,7,54
1.68,0,-,187,870,345,74.65,0,-,2,134
1.55,0,-,"1,290","5,650",350,91.05,0,-,25,299
1.27,0,-,44,"1,887",355,93.75,0,-,3,65
1.11,0,-,13,745,360,96.05,0,-,15,104
1.04,0,-,155,376,365,97.95,0,-,40,77
0.9,0,-,96,359,370,95.35,0,-,2,41
0.81,0,-,141,0,375,114.65,0,-,122,213
0.73,0,-,96,743,380,117.85,0,-,40,80
0.65,0,-,4,225,385,134.2,0,-,-,40
0.61,0,-,4,0,390,128.9,0,-,20,32
0.56,0,-,7,461,395,134.11,0,-,1,41
0.5,0,-,"1,419","5,967",400,140.3,0,-,113,401
0.5,0,-,10,13,405,-,-,-,-,-
0.45,0,-,52,"2,270",410,146.15,0,-,82,112
0.79,0,-,50,60,415,146.55,0,-,5,5
0.36,0,-,2,368,420,155.45,0,-,40,101
0.64,0,-,82,279,430,166.15,0,-,31,161
0.31,0,-,81,"1,523",440,177.2,0,-,1,366
0.2,0,-,1,36,460,-,-,-,-,-
0.23,0,-,1,143,480,-,-,-,-,-
0.19,0,-,6,823,500,221.17,0,-,2,101
0.25,0,-,1,2,520,-,-,-,-,-
0.27,0,-,-,9,540,-,-,-,-,-
0.2,0,-,-,279,560,-,-,-,-,-
