Calls,Strikes,Puts
245.7,5,0.01
240.7,10,0.01
245.5,15,0.02
232.7,20,0.02
222.5,25,0.02
221.8,30,0.03
215.25,35,0.02
210.2,40,0.03
-,45,0.01
-,50,0.03
193.19,55,0.06
-,60,0.1
168.15,65,0.08
191.5,70,0.16
156.66,75,0.12
181.55,80,0.2
101.4,85,0.16
73.45,90,0.35
183.03,95,0.23
161.81,100,0.3
187.2,105,0.34
173.7,110,0.43
81.5,115,0.61
142.8,120,0.6
137.35,125,0.77
122.7,130,0.9
128.8,135,0.82
144.55,140,1.28
120.3,145,1.27
132.95,150,1.66
98.4,155,2
106.4,160,2.32
116.37,165,2.47
112.7,170,2.86
107.85,175,3.62
85.02,180,4.2
100.6,185,4.7
76.44,190,5.35
74.2,195,6.5
72.05,200,7.5
64.05,205,5.95
60.2,210,9.4
56.5,215,10.44
53,220,12.4
49.62,225,12.6
46.16,230,15.3
47.35,235,19.5
39.8,240,18.58
37,245,20.05
36.2,250,22.75
34.4,255,26.3
30.85,260,28
28.5,265,31.22
26.5,270,31.7
22.93,275,34.52
21.55,280,38.86
18.7,285,41.16
17.04,290,46.15
15.75,295,49.7
14.79,300,52.5
12.35,305,57
11.77,310,60.65
9.95,315,54.6
9.21,320,68.5
8.45,325,71.65
7.45,330,73.55
12.15,335,76.4
5.71,340,85.45
4.7,350,92.85
3.65,360,99.95
3.55,370,95.35
2.3,380,112.95
1.9,390,-
1.54,400,145.05
1.28,410,158.75
1.12,420,146.15
0.97,430,161.64
0.81,440,177.65
0.64,460,193.25
0.49,480,-
0.41,500,-
0.54,520,-
0.3,560,-
